topic_word_total8,新车上市,品牌战略,产品规划,车型测试,消费者口碑营销,产品性能
A35,1,1,1,1,1,1
NO,1,1,1,1,1,1
GLS,1,1,1,1,1,1
MGCC,1,1,1,1,1,1
GLB,1,1,1,1,1,1
形面,1,1,1,1,1,1
Polestar,1,1,1,1,1,1
S4,1,1,1,1,1,1
利物浦,1,1,1,1,1,1
感性,1,1,1,1,1,1
1.5升,1,1,1,1,1,1
泰国,1,1,1,1,1,1
巴黎,1,1,1,1,1,1
李宏鹏,1,1,1,1,1,1
横幅,1,1,1,1,1,1
GLC,1,1,1,1,1,1
YOUNG,1,1,1,1,1,1
韩魏,1,1,1,1,1,1
MATIC,1,1,1,1,1,1
CLA,1,1,1,1,1,1
Gran,1,1,1,1,1,1
拉力赛,21,1,1,32,35,56
山路,1,1,1,32,35,56
BOSE,1,1,1,1,1,1
俱乐部,1,1,1,1,1,1
C43,1,1,1,1,1,1
Super,1,1,1,1,1,1
鲨鱼,1,1,1,1,1,1
安全带,1,1,1,1,1,1
骨架,1,1,1,1,1,1
PILOT,1,1,1,1,1,1
MGB,1,1,1,1,1,1
Smart,1,45,1,1,1,1
Trophy,1,1,1,1,1,1
智行,1,1,1,1,1,1
INSPIRE,1,1,1,1,1,1
展厅,1,1,1,1,1,1
强力,1,1,1,1,1,1
Sense,1,1,1,1,1,1
感官,1,1,1,1,1,1
驾控,1,1,1,1,1,1
背车,1,1,1,1,1,1
Performance,1,1,1,1,1,1
光影,1,1,1,1,1,1
本能,1,1,1,1,1,1
always,1,1,1,1,1,1
寓意,1,1,1,1,1,1
迈巴赫,1,45,1,1,1,1
定义,1,1,1,1,1,1
肩线,1,1,1,1,1,1
新体验,1,1,1,1,1,1
绘图,1,1,1,1,1,1
1.0T,1,1,1,1,1,1
三角形,1,1,1,1,1,1
四门,1,1,1,1,1,1
伦敦,1,1,1,1,1,1
帝豪GL,1,1,1,1,1,1
柯珞克,1,1,1,1,1,1
玩具,1,1,1,1,1,1
全维,1,1,1,1,1,1
力量感,34,1,1,1,36,1
Hormone,80,1,1,1,1,1
水准,1,1,1,1,1,1
力场,1,1,1,1,1,1
总裁,1,1,1,1,1,1
标志性,1,1,1,1,1,1
www,1,1,1,1,1,1
爆发力,1,1,1,45,23,1
远景S1,1,1,1,1,1,1
样本,1,1,1,1,1,1
Heyday,1,1,1,1,1,1
轩逸,1,1,1,1,1,1
LAFESTA,80,1,1,1,1,1
欲罢不能,1,1,1,1,1,1
首秀,1,1,1,1,1,1
圈层,1,1,1,1,1,1
Satiated,1,1,1,1,1,1
星耀,1,1,1,1,1,1
奔驰GL,1,1,1,1,1,1
上将,1,1,1,1,1,1
Hale,1,1,1,1,1,1
荣威i6,1,1,1,1,1,1
GS4,1,1,1,1,1,1
途观,1,1,1,1,1,1
荣威Ei5,1,1,1,1,1,1
新政,1,1,1,1,1,1
长安CS75,1,1,1,1,1,1
奇骏,1,1,1,1,1,1
轿车市场,12,15,21,1,1,1
XR,1,1,1,1,1,1
价位,1,1,1,1,1,1
系数,1,1,1,1,1,1
瑞虎5x,1,1,1,1,1,1
隐藏式,1,1,1,1,1,1
缤智,1,1,1,1,1,1
绅宝X55,1,1,1,1,1,1
体制,1,1,1,1,1,1
Premium,1,1,1,1,1,1
TOP,1,1,1,1,1,1
H6,1,1,1,1,1,1
黑金,1,1,1,1,1,1
荣威RX3,1,1,1,1,1,1
东风风神AX7,1,1,1,1,1,1
通用五菱,1,1,1,1,1,1
ES6,1,1,1,1,1,1
砖叔,1,1,1,1,1,1
联会,1,1,1,1,1,1
爱琴海,1,1,1,1,1,1
AR,1,1,1,1,1,1
帝豪,1,1,1,1,1,1
联网,12,25,25,1,1,1
TOP10,1,1,1,1,1,1
超豪,1,1,1,1,1,1
购物,1,1,1,1,1,1
均衡,1,1,1,1,1,1
大威,1,1,1,1,1,1
高清,1,1,1,1,1,1
世界杯赛,1,1,1,1,1,1
tron,1,1,1,1,1,1
律动,1,1,1,1,1,1
公园,1,1,1,1,1,1
厚道,1,1,1,1,1,1
反观,1,1,1,1,1,1
份额,1,1,1,1,1,1
威马,1,1,1,1,1,1
过渡期,1,1,1,1,1,1
无线,1,1,1,1,1,1
现实,1,1,1,1,1,1
Wh,1,1,1,1,1,1
F5,80,1,1,1,1,1
卖点,1,1,1,1,1,1
国产品牌,1,1,1,1,1,1
众泰SR9,1,1,1,1,1,1
值得注意,1,1,1,1,1,1
途昂,1,1,1,1,1,1
四化,1,1,1,1,1,1
典型,1,1,1,1,1,1
比如说,1,1,1,1,1,1
瑞虎7,1,1,1,1,1,1
五月份,1,1,1,1,1,1
宝骏E100,1,1,1,1,1,1
哈弗H4,1,1,1,1,1,1
登场,1,1,1,1,1,1
马自达3,1,1,1,1,1,1
帝豪EV,1,1,1,1,1,1
元邦,1,1,1,1,1,1
格越,1,1,1,1,1,1
上通,1,1,1,1,1,1
市场份额,60,1,1,1,1,1
涨幅,1,1,1,1,1,1
物种,1,1,1,1,1,1
亚军,1,1,1,1,1,1
门把手,1,1,1,1,1,1
英文,1,1,1,1,1,1
挑战赛,1,1,1,1,1,1
程序,1,1,1,1,1,1
20T,1,1,1,1,1,1
五菱宏光,1,1,1,1,1,1
势头,1,1,1,1,1,1
强势,1,1,1,1,1,1
破百,1,1,1,1,1,1
科沃兹,1,1,1,1,1,1
动车,1,1,1,1,1,1
热门,1,1,1,1,1,1
AliOS,1,1,1,1,1,1
世界级,1,1,1,1,1,1
交通广播,1,1,1,1,1,1
手动挡,1,1,1,1,1,1
朗逸Plus,1,1,1,1,1,1
帕萨特,1,1,1,1,1,1
新宝来,1,1,1,1,1,1
Tharu,1,1,1,1,1,1
速腾,1,1,1,1,1,1
途安L,1,1,1,1,1,1
途观L,1,1,1,1,1,1
MQB,1,1,1,1,1,1
一汽大众,1,1,1,1,1,1
Cross,1,1,1,1,1,1
Line,1,1,1,1,1,1
凌渡,1,1,1,1,1,1
大众汽车集团,1,45,1,1,1,1
拓界,1,1,1,1,1,1
Polo,1,1,1,1,1,1
豪华版,12,1,1,12,25,1
高低,1,1,1,1,1,1
两辆车,1,1,1,1,1,1
TSI,1,1,1,1,1,35
天籁,1,1,1,1,1,1
兹曼,1,1,1,1,1,1
中级车,1,1,1,1,1,1
贡献,1,1,1,1,1,1
探荣,80,1,1,1,1,1
精英,1,1,1,1,1,1
TAYRON,80,1,1,1,1,1
Auto,1,1,1,1,1,1
途锐,1,1,1,1,1,1
狭义,1,1,1,1,1,1
增长率,1,1,1,1,1,1
桑塔纳,1,1,1,1,1,1
科雷嘉,1,1,1,1,1,1
产品线,1,35,25,1,1,1
教授,1,1,1,1,1,1
邱小铖,1,1,1,1,1,1
宝骏730,1,1,1,1,1,1
大众汽车,1,45,1,1,1,1
柯迪亚克,1,1,1,1,1,1
外界,1,1,1,1,1,1
EA211,1,1,1,1,1,45
下线,1,1,1,1,1,1
二者,1,1,1,1,1,1
兄弟,1,1,1,1,1,1
科迪亚克,1,1,1,1,1,1
丝绸之路,1,1,1,1,1,1
逍客,1,1,1,1,1,1
CR,1,1,1,1,1,1
CarPlay,1,1,1,1,1,1
态势,1,1,1,1,1,1
SI,1,1,1,1,1,1
远景X1,1,1,1,1,1,1
辣爸,1,1,1,1,1,1
舒适版,1,1,1,1,1,1
净化器,1,1,1,1,1,1
局面,1,1,1,1,1,1
湿式,1,1,1,1,1,1
孩子,1,1,1,1,1,1
USB,1,1,1,1,1,1
塑料,1,1,1,1,1,1
平衡,1,1,1,1,1,1
同一,1,1,1,1,1,1
飞度,1,1,1,1,1,1
高尔夫,1,1,1,1,1,1
宽大,1,1,1,1,1,1
广汇,1,1,1,1,1,1
Beats,1,1,1,1,1,1
冯思翰,1,1,1,1,1,1
A0,1,1,1,1,1,1
MIB,1,1,1,1,1,1
兵哥,1,1,1,1,1,1
出众,1,1,1,1,1,1
海洋,1,1,1,1,1,1
金牛座,1,1,1,1,1,1
梯形,1,1,1,1,1,1
热度,1,1,1,1,1,1
百城,1,1,1,1,1,1
单月,1,1,1,1,1,1
千镇,1,1,1,1,1,1
犀牛,1,1,1,1,1,1
阵营,1,35,23,1,25,1
西南,1,1,1,1,1,1
宋军,1,1,1,1,1,1
辉腾,1,1,1,1,1,1
酷车,1,1,1,1,1,1
MLB,1,1,1,1,1,1
凌派,1,1,1,1,1,1
卓越,1,1,1,1,1,1
